pc11_state_id,pc11_district_id,year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,pc11_district_name,zone_indicator,num_sezs,mean_distance_to_chennai_km,coastal_district,mean_population_density_per_sq_km,current_districts_mapped,district_type,log_viirs_mean
33,632,2022,average-masked,2.111771219974236,47356.24090780421,22424.89170222804,Coimbatore,1,4,427.4,0,748,Coimbatore,SEZ district,1.1351920881813098
33,633,2022,average-masked,1.5054805639790625,37036.200989811245,24600.916063587472,Tiruppur,0,0,386.8,0,478,Tiruppur,Non-SEZ district,0.9184805580453318
33,602,2023,average-masked,5.468178890469149,93573.28130808347,17112.329933312634,Thiruvallur,1,4,39.8,1,1098,Tiruvallur,SEZ district,1.8668945991043686
33,603,2023,average-masked,32.50798983110808,27732.933170828004,853.1112909445219,Chennai,1,5,0,1,26553,Chennai,SEZ district,3.5117839128149764
33,604,2023,average-masked,4.112225563120557,84748.22852456487,20608.847258916845,Kancheepuram,1,20,60.650000000000006,1,909.5,Kancheepuram; Chengalpattu,SEZ district,1.6316348403428984
33,605,2023,average-masked,1.5084775745507062,44504.83668162417,29503.14769835392,Vellore,1,1,141.43333333333334,0,529.3333333333334,Vellore; Ranipet; Tirupathur,SEZ district,0.9196760251177601
33,606,2023,average-masked,0.9222118855991396,27302.247129809,29605.178111613008,Tiruvannamalai,1,1,161,0,399,Tiruvannamalai,SEZ district,0.6534765467190818
33,607,2023,average-masked,1.1882435036777448,40835.21290463548,34366.030849944465,Viluppuram,0,0,179.65,1,456,Viluppuram; Kallakurichi,Non-SEZ district,0.7830991688965371
33,608,2023,average-masked,1.8511350611317217,46515.918718667424,25128.322452187334,Salem,1,1,279.5,0,663,Salem,SEZ district,1.047717182057045
33,609,2023,average-masked,1.5137272733247125,24932.1313345846,16470.68912210605,Namakkal,0,0,308.5,0,506,Namakkal,Non-SEZ district,0.9217666211189371
33,610,2023,average-masked,1.0409493009587762,28682.605077962788,27554.276708331905,Erode,1,2,338.4,0,394,Erode,SEZ district,0.7134150432246094
33,611,2023,average-masked,0.5011287073739532,6140.219480358597,12252.77935589635,The Nilgiris,0,0,430.7,0,287,Nilgiris,Non-SEZ district,0.40621729672599827
33,612,2023,average-masked,0.9280285196571092,27272.587728034567,29387.66120906642,Dindigul,0,0,391.6,0,357,Dindigul,Non-SEZ district,0.6564979884322205
33,613,2023,average-masked,1.268786509082431,17372.87478786904,13692.51222605832,Karur,0,0,335.6,0,371,Karur,Non-SEZ district,0.8192451110590918
33,614,2023,average-masked,1.722346170933461,35955.04402967088,20875.61991686276,Tiruchirappalli,1,1,306.6,0,602,Tiruchirappalli,SEZ district,1.0014940713575424
33,615,2023,average-masked,1.1074612479088128,9137.986430419563,8251.292266591325,Perambalur,0,0,255,0,321,Perambalur,Non-SEZ district,0.7454840230184416
33,616,2023,average-masked,1.6146936564994774,14948.49449807493,9257.789821557875,Ariyalur,0,0,251.9,0,390,Ariyalur,Non-SEZ district,0.9611469420882915
33,617,2023,average-masked,1.711514161230808,29811.046202836656,17417.937214962054,Cuddalore,0,0,158.5,1,704,Cuddalore,Non-SEZ district,0.9975072099409951
33,618,2023,average-masked,1.245117767970262,15110.861479485931,12136.090150025742,Nagapattinam,0,0,245.95000000000002,1,694,Nagapattinam; Mayiladuthurai,Non-SEZ district,0.808757977711563
33,619,2023,average-masked,1.0431339374282589,11206.100348042515,10742.7243481983,Thiruvarur,0,0,266.7,1,533,Tiruvarur,Non-SEZ district,0.714484872878087
33,620,2023,average-masked,1.3865487829739245,22653.015262823392,16337.697988697026,Thanjavur,0,0,283.5,0,691,Thanjavur,Non-SEZ district,0.8698482984758986
33,621,2023,average-masked,0.8486142602772285,19288.659523955102,22729.59626869081,Pudukkottai,0,0,340.2,0,348,Pudukkottai,Non-SEZ district,0.6144363099144421
33,622,2023,average-masked,0.7132904122456203,14264.727731665776,19998.485170656888,Sivaganga,0,0,409.1,0,324,Sivaganga,Non-SEZ district,0.5384157392666675
33,623,2023,average-masked,1.5747671052188048,27818.078494252448,17664.88416100569,Madurai,1,2,422.1,0,819,Madurai,SEZ district,0.9457590854501208
33,624,2023,average-masked,0.668416572672045,8722.548009996295,13049.568736943878,Theni,0,0,457.5,0,433,Theni,Non-SEZ district,0.511875016563942
33,625,2023,average-masked,1.1188985576561077,22943.078683862885,20505.05698382929,Virudhunagar,0,0,464.8,0,454,Virudhunagar,Non-SEZ district,0.7508964053965295
33,626,2023,average-masked,0.6747009955335442,13140.233929333066,19475.6403448641,Ramanathapuram,0,0,442,1,320,Ramanathapuram,Non-SEZ district,0.5156346392129729
33,627,2023,average-masked,1.318872588027919,29383.434734606075,22279.20649904664,Thoothukkudi,1,1,533.8,1,378,Thoothukudi,SEZ district,0.841081114128339
33,628,2023,average-masked,1.30402783202551,41181.73424695625,31580.410506261836,Tirunelveli,1,3,559.25,0,435,Tirunelveli; Tenkasi,SEZ district,0.834658822632867
33,629,2023,average-masked,1.69361373991655,13647.059002091251,8057.952460142233,Kanniyakumari,0,0,630.5,1,1119,Kanniyakumari,Non-SEZ district,0.9908836898008381
33,630,2023,average-masked,0.9197866998333106,19540.422920396115,21244.51562947948,Dharmapuri,0,0,252.7,0,335,Dharmapuri,Non-SEZ district,0.6522140860314954
33,631,2023,average-masked,1.648916678376817,40614.54047243378,24631.044736847754,Krishnagiri,1,3,231.7,0,370,Krishnagiri,SEZ district,0.9741507558038589
33,632,2023,average-masked,2.462669159780085,55225.08920648532,22424.89170222804,Coimbatore,1,4,427.4,0,748,Coimbatore,SEZ district,1.2420397251302324
33,633,2023,average-masked,1.7840423534824197,43889.07619190605,24600.916063587472,Tiruppur,0,0,386.8,0,478,Tiruppur,Non-SEZ district,1.0239039555326106
33,602,2020,average-masked,4.325947121888296,74027.03442381673,17112.329933312634,Thiruvallur,1,4,39.8,1,1098,Tiruvallur,SEZ district,1.6725905590451013
33,603,2020,average-masked,27.84233492977889,23752.610294853424,853.1112909445219,Chennai,1,5,0,1,26553,Chennai,SEZ district,3.361844270643665
33,604,2020,average-masked,3.0116118601524957,62065.84882902521,20608.847258916845,Kancheepuram,1,20,60.650000000000006,1,909.5,Kancheepuram; Chengalpattu,SEZ district,1.389193120691923
